StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
CA	"Ace Wasabi's - ""Rock N' Roll Sushi"""	-122.43813	37.80017	101
CA	"Acqua Hotel, Mill Valley, a Joie de Vivre Boutique Hotel"	-122.51740	37.88920	100
CA	"Americas Best Value Inn and Suites, Hemet"	-116.97900	33.74800	659
CA	"Avalon, A Luxury B And B"	-122.90560	38.41800	118
CA	"Bass Pro Shop, Manteca"	-121.22662	37.78190	72
CA	"Best Western Country Inn- San Diego, Poway"	-117.03100	32.95600	728
CA	"Brisas del Mar, Inn at the Beach"	-119.69630	34.40990	471
CA	"Brookfield School, Inc"	-121.50829	38.54685	19
CA	"Calexico, Calexico International Airport"	-115.51333	32.66944	837
CA	"California State Polytechnic University, Pomona"	-117.82166	34.05639	585
CA	"Childrens Home Connection, Inc"	-121.46495	38.49935	15
CA	"Chili Bar, Placerville"	-120.82287	38.76737	77
CA	"Country Inn & Suites By Carlson, Palm Springs, CA"	-116.41320	33.74230	692
CA	"Crowne Plaza Cabana, Palo Alto"	-122.11950	37.40590	119
CA	"Edwards, Edwards Air Force Auxiliary North Base"	-117.85000	34.98333	502
CA	"El Centro, Naval Air Facility"	-115.67167	32.82922	814
CA	"Embassy Suites Hotel La Quinta, CA"	-116.31470	33.69000	703
CA	"Executive Hotel Vintage Court, Union Square"	-122.40790	37.79020	99
CA	"Folsom Dikes 1,2 and 3 Dam"	-121.14606	38.75490	55
CA	"Folsom Dikes 4,5 and 6 Dam"	-121.16939	38.72824	51
CA	"Galleria Park Hotel, a Joie de Vivre Boutique Hotel"	-122.40350	37.78970	99
CA	"Grace Ford Salvatori Hall of Letters, Arts and Sciences"	-118.28813	34.02140	566
CA	"Hampton Inn & Suites Fresno, CA"	-119.78300	36.83900	232
CA	"Hampton Inn & Suites Palm Desert, CA"	-116.37100	33.78700	691
CA	"Hampton Inn & Suites Tahoe-Truckee, CA"	-120.22200	39.32500	156
CA	"Hampton Inn Oakland-Hayward, CA"	-122.07830	37.66570	92
CA	"Harold, Palmdale"	-118.10953	34.54500	526
CA	"Harvest Inn, a Joie de Vivre Boutique Hotel"	-122.45580	38.49380	80
CA	"Hoover Institution on War, Revolution and Peace"	-122.16719	37.42744	119
CA	"Hotel Adagio, a Joie de Vivre Boutique Hotel"	-122.41230	37.78670	100
CA	"Hotel Angeleno, a Joie de Vivre Boutique Hotel"	-118.46890	34.07470	552
CA	"Hotel Avante, a Joie de Vivre Boutique Hotel"	-122.06190	37.37590	120
CA	"Hotel Bijou, a Joie de Vivre Boutique Hotel"	-122.40920	37.78440	100
CA	"Hotel California, L.L.C."	-119.04250	35.39980	399
CA	"Hotel Carlton, a Joie de Vivre Boutique Hotel"	-122.41790	37.78800	100
CA	"Hotel Del Sol, a Joie de Vivre Boutique Hotel"	-122.43410	37.79920	101
CA	"Hotel Los Gatos & Spa, a Joie de Vivre Boutique Hotel"	-121.97710	37.22100	134
CA	"Hotel Rex, a Joie de Vivre Boutique Hotel"	-122.40950	37.78900	100
CA	"Howard Johnson Express Inn, Pacifica"	-122.49610	37.60750	119
CA	"Independent Capital Management, Inc."	-117.75095	33.65785	626
CA	"Institute for World Understanding of Peoples, Cultures and Languages Library"	-117.27782	32.84644	726
CA	"Laurel Inn, a Joie de Vivre Boutique Hotel"	-122.44670	37.78770	102
CA	"Lompoc, Vandenberg Air Force Base"	-120.58431	34.73733	414
CA	"Martin Luther King, Jr Junior High School"	-121.45245	38.62379	28
CA	"Martin Luther King, Jr Library"	-121.88519	37.33557	120
CA	"Maxwell Hotel, A Personality Hotel"	-122.40940	37.78710	100
CA	"Mill Valley Inn, a Joie de Vivre Boutique Hotel"	-122.54940	37.90540	102
CA	"Monsters, Inc. Ride"	-117.91722	33.80835	604
CA	"Moorpark Hotel, a Joie de Vivre Boutique Hotel"	-121.97670	37.31590	124
CA	"Oceanside, Camp Pendleton, Marine Corps Air Station"	-117.35515	33.30125	679
CA	"Parker Palm Springs, a Meridien Hotel"	-116.50040	33.79460	683
CA	"Petite Auberge, a Joie de Vivre Boutique Hotel"	-122.41130	37.78970	100
CA	"Phoenix Hotel, a Joie de Vivre Boutique Hotel"	-122.41740	37.78320	101
CA	"Point Mugu, Naval Air Warfare Center"	-119.12094	34.12028	521
CA	"Ramada Ltd. Culver City, CA"	-118.41500	34.01000	561
CA	"Red, White and Blue Beach"	-122.14191	36.97634	164
CA	"Richmond ""Bayview"" Fire Station"	-122.32364	37.91465	85
CA	"Rio Vista Airport (Closed, 1995)"	-121.68938	38.17134	26
CA	"SAC-2, office building.  Dr. Press' office is SAC 2144"	-118.25464	33.86283	583
CA	"Safari Inn, a Coast Hotel"	-118.32470	34.16570	550
CA	"San Clemente Island, San Clemente Island NALF"	-118.58694	33.02333	652
CA	"Semi-Probes, Inc."	-121.95493	37.26535	129
CA	"Sheraton San Diego Hotel, Mission Valley"	-117.14950	32.76600	740
CA	"Spark Woodfire Grill, Beverly Hills"	-118.39761	34.05548	558
CA	"The Andrews Hotel, a Joie de Vivre Boutique Hotel"	-122.41200	37.78770	100
CA	"The Hotel Drisco, a Joie de Vivre Boutique Hotel"	-122.44290	37.79220	102
CA	"The Lodge at Tiburon, a Larkspur Hotel"	-122.45690	37.87420	97
CA	"The Ritz-Carlton, Half Moon Bay"	-122.43000	37.43000	131
CA	"The Ritz-Carlton, San Francisco"	-122.40730	37.79130	99
CA	"The Sainte Claire, a Larkspur Hotel"	-121.88790	37.33060	120
CA	"Toll House Hotel, a Larkspur Hotel"	-121.98510	37.22060	134
CA	"Twenty-Nine Palms, Marine Corps Air-Ground Combat Center"	-116.14500	34.29444	664
CA	"Universal Studios, Hollywood"	-118.35417	34.13942	551
CA	"University of California, Los Angeles"	-118.44455	34.07062	554
CA	"Waters Edge Hotel, a Joie de Vivre Boutique Hotel"	-122.45610	37.87320	97
CA	"West Beach Inn, a Coast Hotel"	-119.69250	34.40910	471
CA	"Wheat, Oil and Wine Christian Church"	-117.34866	33.99363	616
CA	"White Swan Inn, a Joie de Vivre Boutique Hotel"	-122.41100	37.78980	100
CA	"Wild Palms Hotel, a Joie de Vivre Boutique Hotel"	-122.01400	37.35220	121
CA	"Yo En Dios, Dios En Mi Church"	-120.48044	35.04498	382
CA	"York Hotel, A Personality Hotel"	-122.41570	37.78830	100
CA	"iFLY ""Spread Your Wings"""	-122.06570	37.59832	98
CA	"iFly ""Spread Your Wings"" - Southern California"	-118.35350	34.13904	552
CA	10 Mg Walteria 1049 Dam	-118.33757	33.78835	586
CA	101 Ranch	-119.67292	37.14773	215
CA	109 Limestone Quarry	-118.77111	34.84806	464
CA	10th and Western 5-004 Dam	-118.28258	34.17834	551
CA	1300 On Fillmore	-122.43198	37.78195	102
CA	1500 Ocean at Hotel del Coronado	-117.17845	32.68092	746
CA	1550 Hyde Cafe	-122.41815	37.79530	100
CA	1849 CONDOS AT CANYON LODGE	-119.00070	37.64410	239
CA	1859 Historic National Hotel  A Country Inn	-120.42328	37.95244	110
CA	2 S Ranch 3220 Dam	-121.95277	40.66154	256
CA	2 Schali Drain	-115.34193	32.77116	839
CA	2-C Number 1 Drain	-115.27831	32.78505	842
CA	3 PEAKS RESORT AND BEACH CLUB	-119.94690	38.95640	154
CA	30 Mg Central Reservoir 1087 Dam	-117.90923	33.92668	593
CA	33 Strip Airport	-121.33032	37.67016	81
CA	333 Steak	-117.38374	33.19500	688
CA	500 West Hotel	-117.16750	32.71580	744
CA	59 Duck Club Airport	-120.48399	37.23368	158
CA	6th & Gladys Park	-118.24255	34.04025	566
CA	7-M Ranch Airport	-122.56859	38.71629	96
CA	700 Huntington	-118.01440	34.14010	568
CA	7R Ranch Airport	-119.44819	34.93379	426
CA	8050 NORTHSTAR	-120.18520	39.34320	160
CA	850 Canal	-118.84704	34.99747	447
CA	A Andrews Ranch	-118.23619	34.76887	499
CA	A B Miller High School	-117.44810	34.12945	599
CA	A B Morris Junior High School (historical)	-122.08552	37.70493	88
CA	A Better Way Evangelical Church	-121.38217	38.69740	38
CA	A Bug's Land	-117.91774	33.80660	604
CA	A C Bilbrew Branch County of Los Angeles Public Library	-118.23035	33.91585	579
CA	A C Graves Ranch	-122.72585	40.41876	248
CA	A Canal	-114.62440	33.67141	814
CA	A Canyon	-117.17728	36.29272	452
CA	A D Edmonston Pumping Plant	-118.82482	34.94414	453
CA	A E Arnold Elementary School	-118.05506	33.82696	595
CA	A E Kent Middle School	-122.54765	37.95336	99
CA	A E Wright Middle School	-118.70370	34.13389	536
CA	A F Traver Ranch	-119.62207	35.07080	406
CA	A G Bacich Elementary School	-122.53902	37.95142	98
CA	A G Currie Middle School	-117.82617	33.72557	616
CA	A Greater Fellowship Church of God in Christ	-121.25689	37.93326	56
CA	A H Smith Ditch	-119.41512	36.61912	272
CA	A J Comstock Fire Museum	-119.29595	34.27972	498
CA	A J Cook Elementary School	-117.95839	33.76335	606
CA	A J Dorsa Elementary School	-121.83744	37.34013	118
CA	A K Smiley Public Library	-117.18393	34.05418	620
CA	A L Chaffin 346 Dam	-121.58442	39.59655	135
CA	A M Cooper Ranch	-119.72179	35.28358	381
CA	A M Winn Elementary School	-121.32412	38.56602	29
CA	A P Giannini Middle School	-122.49678	37.75085	108
CA	A Place In The Son Church	-118.10528	34.57472	523
CA	A Small World for Little People Day Care Center	-117.37325	33.68854	643
CA	A Street Intramural Field	-121.74774	38.54407	25
CA	A Street Park	-119.47540	35.13747	405
CA	A Stronetta Ranch	-123.71085	38.94908	198
CA	A Victorian Garden Inn	-122.45160	38.29130	79
CA	A and C 1110-002 Dam	-120.79941	41.78072	383
CA	A and M Farms Dairy	-119.97639	36.60944	241
CA	A-G Sod Farms	-119.68194	36.51194	265
CA	ABC Camp Rustic Campsite	-121.42993	36.02330	262
CA	ABC-TV Heliport	-118.28341	34.10334	558
CA	ABELLA GARDEN INN BED AND BREA	-120.58775	35.12120	372
CA	ABs Reef	-117.25670	32.72838	738
CA	AC Graves Ranch	-122.76780	40.41876	249
CA	AGGIE INN	-121.74530	38.54110	24
CA	AHWAHNEE HOTEL	-119.58500	37.74740	187
CA	ALISAL GUEST RANCH AND RESORT	-120.13340	34.60320	438
CA	ALISO CREEK INN	-117.75280	33.51150	640
CA	ALPINE INN	-117.91810	33.80340	604
CA	AMBER HOUSE	-121.47870	38.57240	22
CA	AMBROSE BIERCE HOUSE	-122.47220	38.50630	81
CA	AMERICAN INN EXPRESS	-122.22840	40.16960	207
CA	AMERICANA VILLAGE	-119.94793	38.94996	154
CA	AMERICAS BEST INNS BAKERSFIELD	-119.32160	35.35310	391
CA	AMERICAS BEST INNS LAGUNA BEAC	-117.80110	33.54880	634
CA	AMERICAS BEST VALUE INN	-121.85820	36.59700	200
CA	AMERICAS BEST VALUE INN	-117.19790	32.75760	738
CA	ANGELS CAMP CONDOS	-120.55720	38.07150	94
CA	APPLE FARM	-120.64960	35.29050	352
CA	APPLE TREE INN	-119.63930	37.47260	196
CA	APT Ambulance Company	-118.35308	33.94813	570
CA	AQUAMARINE VILLAS	-117.37650	33.18750	689
CA	ARCHBISHOPS MANSION ALAMO SQUAR	-122.43322	37.77742	102
CA	ARCHSTONE SOUTH OF  MARKET	-122.39710	37.78360	99
CA	ARroyo Trailer Park	-120.59295	35.11942	372
CA	ASA Academy and Community Science Center	-122.25564	37.79760	89
CA	ASCOT INN	-120.85130	35.36640	340
CA	AT&T Park	-122.38941	37.77841	99
CA	AT&T Park	-122.39100	37.77820	99
CA	AUBERGE DU SOLEIL	-122.43660	38.51320	78
CA	AVILA VILLAGE INN	-120.67820	35.26210	355
CA	AZURE SKY RESORT	-116.54140	33.80170	679
CA	Abacherli Canyon	-117.65533	33.92501	606
CA	Abadi Creek	-119.38484	34.60943	461
CA	Abalobadiah Creek	-123.76724	39.56544	232
CA	Abalone Campground	-124.15924	41.13512	379
CA	Abalone Cove	-121.10436	35.55692	316
CA	Abalone Cove	-118.38091	33.73891	589
CA	Abalone Cove Ecological Reserve	-118.37841	33.74168	589
CA	Abalone Point	-122.76610	37.93798	117
CA	Abalone Point	-123.79196	39.66766	241
CA	Abalone Point	-124.16174	41.13401	379
CA	Abalone Point	-118.31702	33.34336	631
CA	Abalone Point	-117.81950	33.55391	633
CA	Abbato (historical)	-120.82769	37.05383	161
CA	Abbe Park	-121.53939	36.84440	170
CA	Abbey Bridge Guard Station (historical)	-120.57494	39.99656	198
CA	Abbott	-121.62552	39.02045	71
CA	Abbott Canyon	-119.70180	35.07636	402
CA	Abbott Creek	-119.01650	36.77217	287
CA	Abbott Lake	-121.60928	39.02010	71
CA	Abbott Lake	-123.18658	41.41649	365
CA	Abbott Lakes	-121.48169	36.23117	239
CA	Abbott Middle School	-122.30962	37.53045	115
CA	Abbott Mine	-122.44526	39.02239	105
CA	Abbott Ranch	-121.46577	36.23052	239
CA	Abbott Ranch	-123.10087	41.40791	361
CA	Abbott Reservoir	-120.86068	40.90613	287
CA	Abbott Spring	-120.85301	40.90876	287
CA	Abbotts Lagoon	-122.95333	38.11742	126
CA	Abbotts Peak	-120.62243	37.97631	93
CA	Abbotts Upper Cabin	-123.18755	41.42958	366
CA	Abby's Anaheimer Inn	-117.92840	33.80330	604
CA	Abel Canyon	-119.86430	34.82332	423
CA	Abel Canyon Campground	-119.86264	34.82276	423
CA	Abel Canyon Spring	-119.81680	34.87109	419
CA	Abel Square Shopping Center	-121.90801	37.42772	110
CA	Abelardo Cabin	-120.75851	36.31024	240
CA	Abelian Group Math School	-122.28768	37.86852	86
CA	Abels Apple Acres	-120.74854	38.74657	81
CA	Aberdeen	-118.25343	36.97799	330
CA	Aberdeen Bypass Ditch	-118.23621	36.96160	332
CA	Aberdeen Canyon	-118.28896	34.11556	557
CA	Aberdeen Ditch	-118.22593	36.96466	333
CA	Aberdeen-Inverness Residence Hall	-117.32532	33.97835	619
CA	Abernathy Meadow	-119.89935	37.87520	156
CA	Abestos Number 1 Prospect	-118.06981	36.89410	349
CA	Abilene	-119.05371	36.14551	333
CA	Able Spring	-122.63209	39.14730	127
CA	Ables Drain	-120.96910	37.42744	118
CA	Abney Butte	-123.16033	41.97596	422
