aaaaaaand                                    3027 lines
aaaaaand                                     3036 lines
aaaaah                                       6014 lines
aaaaahed                                     3000 lines
aaaah                                        9375 lines
aaah                                         19829 lines
aback                                        17087 lines
abandoned                                    19879 lines
abandoning                                   6430 lines
abashed                                      9284 lines
abbot                                        9681 lines
abbott                                       5814 lines
aberforth                                    13771 lines
abided                                       2620 lines
ability                                      18618 lines
able                                         21769 lines
able-bodied                                  19913 lines
ably                                         1929 lines
aboard                                       4655 lines
abou                                         21787 lines
about                                        22181 lines
above                                        20552 lines
abroad                                       19852 lines
abrupt                                       16851 lines
abruptly                                     21965 lines
absence                                      12878 lines
absences                                     15876 lines
absent                                       13507 lines
absentmindedly                               4412 lines
absolute                                     13490 lines
absolutely                                   13937 lines
absorb                                       10040 lines
absorbed                                     11213 lines
absurd                                       492 lines
abuse                                        14727 lines
ac                                           1505 lines
academy                                      18887 lines
accent                                       2587 lines
accept                                       21424 lines
acceptance                                   20605 lines
accepted                                     19396 lines
accepting                                    13555 lines
access                                       11797 lines
accessible                                   12625 lines
accident                                     22162 lines
accidental                                   2447 lines
accidentally                                 18682 lines
accidents                                    14511 lines
accio                                        20277 lines
acclaimed                                    3042 lines
accom                                        4812 lines
accommodate                                  1967 lines
accompanied                                  13624 lines
accompany                                    21278 lines
accompanying                                 21167 lines
according                                    15140 lines
accosted                                     12845 lines
account                                      21348 lines
accounts                                     21302 lines
accurate                                     7180 lines
accusation                                   4514 lines
accusations                                  688 lines
accuse                                       17084 lines
accused                                      18378 lines
accusing                                     17590 lines
aches                                        20066 lines
achieve                                      20156 lines
achieved                                     19804 lines
achieving                                    17609 lines
aching                                       21004 lines
acid                                         10932 lines
acid-green                                   17985 lines
acidly                                       12110 lines
ackerley                                     5313 lines
acknowledge                                  21842 lines
acknowledged                                 7668 lines
acne                                         5811 lines
acne's                                       11910 lines
acquire                                      20826 lines
acquisition                                  1733 lines
acquitted                                    21406 lines
acres                                        2141 lines
across                                       21941 lines
act                                          21476 lines
acted                                        17427 lines
acting                                       21389 lines
action                                       21985 lines
active                                       10075 lines
activities                                   17999 lines
activity                                     18378 lines
actly                                        4014 lines
actor                                        10057 lines
actual                                       12499 lines
actually                                     19008 lines
adamant                                      9559 lines
adapted                                      19912 lines
add                                          22123 lines
added                                        21999 lines
adding                                       18381 lines
additional                                   13261 lines
addled                                       21383 lines
address                                      7400 lines
addressed                                    5778 lines
addressee                                    12276 lines
addressing                                   19826 lines
adept                                        9650 lines
adjusting                                    11463 lines
administered                                 21299 lines
admiration                                   19290 lines
admire                                       16145 lines
admired                                      5958 lines
admirers                                     9701 lines
admission                                    5262 lines
admit                                        21378 lines
admits                                       13259 lines
admitted                                     14394 lines
admittedly                                   9481 lines
ado                                          2944 lines
adolescence                                  15451 lines
adopt                                        11812 lines
adorned                                      2670 lines
adrenaline                                   10806 lines
adult                                        2326 lines
adults                                       17758 lines
advanced                                     18939 lines
advancing                                    22079 lines
advantage                                    13410 lines
adventures                                   14522 lines
advertisements                               2759 lines
advice                                       17587 lines
advise                                       12860 lines
aerial                                       10344 lines
affair                                       18559 lines
affect                                       18124 lines
affected                                     21854 lines
affection                                    15964 lines
affectionately                               1005 lines
affections                                   15460 lines
affinity                                     19883 lines
afflictions                                  553 lines
afford                                       4997 lines
affronted                                    21397 lines
afraid                                       21339 lines
afri                                         2328 lines
africa                                       4424 lines
after                                        22203 lines
aftermath                                    15378 lines
afternoon                                    21730 lines
aftershave                                   8037 lines
afterward                                    20741 lines
again                                        22205 lines
agains                                       10772 lines
against                                      22192 lines
agatha                                       2504 lines
age                                          11619 lines
aged                                         6074 lines
ages                                         17464 lines
aggravating                                  19213 lines
aggressive                                   6073 lines
aging                                        7822 lines
agitated                                     19441 lines
ago                                          21913 lines
agony                                        19814 lines
agree                                        21281 lines
agreed                                       21482 lines
agreement                                    13130 lines
agrid                                        12947 lines
agrid...itistime                             9812 lines
ah                                           20051 lines
aha                                          7299 lines
ahead                                        22209 lines
ahoy                                         2476 lines
aid                                          19653 lines
aidan                                        3351 lines
aiding                                       19734 lines
ailing                                       15541 lines
ailments                                     553 lines
aim                                          21897 lines
aimed                                        19223 lines
aiming                                       14542 lines
aims                                         21909 lines
air                                          21158 lines
airborn                                      486 lines
airily                                       21755 lines
airplane                                     10748 lines
airy-fairy                                   6030 lines
ajar                                         14201 lines
al                                           5025 lines
alarm                                        21389 lines
alarmed                                      14396 lines
alarming                                     18593 lines
alarmingly                                   13264 lines
alas                                         5953 lines
alastor                                      20958 lines
albania                                      20834 lines
albanian                                     19884 lines
albus                                        20581 lines
alert                                        21604 lines
alf-giant                                    12984 lines
algae                                        15056 lines
ali                                          12878 lines
alicia                                       11890 lines
alight                                       19446 lines
alive                                        20875 lines
all                                          22231 lines
all-purpose                                  9190 lines
all-time                                     12407 lines
allegiance                                   19668 lines
alleging                                     4333 lines
alleviate                                    6911 lines
alley                                        9307 lines
allies                                       19752 lines
allow                                        21282 lines
allowed                                      21465 lines
allowing                                     21030 lines
alls                                         12637 lines
ally                                         17871 lines
almighty                                     20243 lines
almond                                       19115 lines
almost                                       22228 lines
aloft                                        19289 lines
alone                                        21707 lines
along                                        21820 lines
alongside                                    18677 lines
aloud                                        15539 lines
already                                      21971 lines
als                                          7344 lines
also                                         22046 lines
alternate                                    7047 lines
alternative                                  19130 lines
although                                     22241 lines
altogether                                   1054 lines
alvays                                       21965 lines
always                                       22168 lines
am                                           21934 lines
amazed                                       21098 lines
amazement                                    20637 lines
amazing                                      11808 lines
amazingly                                    5892 lines
amber                                        6896 lines
ambition                                     20859 lines
ambitious                                    16151 lines
ambush                                       11954 lines
ambushed                                     4691 lines
american                                     2330 lines
amicably                                     12621 lines
amid                                         10537 lines
amined                                       7645 lines
amiss                                        17400 lines
amok                                         4164 lines
among                                        21451 lines
amongst                                      13293 lines
amos                                         21692 lines
amount                                       13924 lines
amounted                                     111 lines
amounts                                      13126 lines
amused                                       15970 lines
amusement                                    6788 lines
an                                           22228 lines
analysis                                     6028 lines
ancestors                                    2620 lines
anchor                                       7436 lines
ancient                                      20589 lines
and                                          22266 lines
and-black                                    2502 lines
andling                                      7385 lines
andorran                                     16841 lines
anew                                         16725 lines
angel                                        20261 lines
angelina                                     12710 lines
anger                                        21873 lines
angle                                        17504 lines
angles                                       9006 lines
anglia                                       1068 lines
angrier                                      21284 lines
angrily                                      22062 lines
angry                                        21420 lines
anguished                                    19501 lines
animagus                                     22024 lines
animal                                       14726 lines
animals                                      19885 lines
animatedly                                   15142 lines
animosity                                    6282 lines
ankle                                        19272 lines
ankles                                       19405 lines
announced                                    21799 lines
announcement                                 8026 lines
announces                                    5302 lines
announcing                                   12565 lines
annoy                                        17268 lines
annoyance                                    11211 lines
annoyed                                      17098 lines
annoying                                     12851 lines
annoys                                       1574 lines
another                                      22249 lines
another's                                    7794 lines
answer                                       21490 lines
answered                                     20841 lines
answering                                    21353 lines
answers                                      16070 lines
ant                                          5864 lines
antennae                                     22043 lines
anthem                                       6953 lines
anthems                                      2940 lines
anthology                                    14763 lines
anti-burgler                                 2761 lines
anti-muggle                                  2293 lines
anticipation                                 11290 lines
antics                                       13299 lines
antidote                                     9099 lines
antidotes                                    11827 lines
antlers                                      12955 lines
antonin                                      17899 lines
anuzzer                                      12976 lines
anxiety                                      15744 lines
anxious                                      14755 lines
anxiously                                    12334 lines
any                                          21993 lines
anybody                                      20765 lines
anybody's                                    19971 lines
anymore                                      22242 lines
anyone                                       22129 lines
anyone's                                     12675 lines
anythin                                      17085 lines
anything                                     22171 lines
anyway                                       22138 lines
anywhere                                     17687 lines
ap                                           8693 lines
apar                                         13805 lines
apart                                        21728 lines
apo                                          4777 lines
apollyon                                     18748 lines
apologies                                    18273 lines
apologize                                    17057 lines
apologized                                   9560 lines
apology                                      10413 lines
appalled                                     20844 lines
apparate                                     21500 lines
apparated                                    3863 lines
apparating                                   21042 lines
apparent                                     9191 lines
apparently                                   21507 lines
apparition                                   17556 lines
appealing                                    9440 lines
appear                                       20792 lines
appearance                                   21126 lines
appearances                                  19652 lines
appeared                                     21171 lines
appearing                                    20861 lines
appears                                      15762 lines
appened                                      5411 lines
appetites                                    8004 lines
applaud                                      3292 lines
applauded                                    12843 lines
applauding                                   18889 lines
applause                                     18886 lines
apple                                        13797 lines
applied                                      7189 lines
appointed                                    9666 lines
appointments                                 13252 lines
appraisal                                    4900 lines
appraising                                   11888 lines
appreciate                                   11113 lines
appreciated                                  18561 lines
appreciatively                               6365 lines
apprehended                                  17904 lines
apprehension                                 21627 lines
apprehensive                                 16861 lines
apprehensively                               10308 lines
approach                                     13227 lines
approached                                   21731 lines
approaches                                   7299 lines
approaching                                  19634 lines
appropriate                                  5302 lines
approval                                     2947 lines
approved                                     626 lines
april                                        7007 lines
